scale,scale_zh,item_no,question_id,question,reverse_scored,sex
balanced,平和质,1,q01,您精力充沛吗？,false,all
balanced,平和质,2,q02,您容易疲乏吗？,true,all
balanced,平和质,3,q03,您感到闷闷不乐、情绪低沉吗？,true,all
balanced,平和质,4,q04,您比一般人耐受不了寒冷（冬天的寒冷，夏天的冷空调、电扇等）吗？,true,all
qi_deficiency,气虚质,1,q02,您容易疲乏吗？,false,all
qi_deficiency,气虚质,2,q05,您容易气短（呼吸短促，接不上气）吗？,false,all
qi_deficiency,气虚质,3,q06,您容易心慌吗？,false,all
yang_deficiency,阳虚质,1,q07,您胃脘部、背部或腰膝部怕冷吗？,false,all
yang_deficiency,阳虚质,2,q08,您感到怕冷，衣服比别人穿得多吗？,false,all
yang_deficiency,阳虚质,3,q04,您比一般人耐受不了寒冷（冬天的寒冷，夏天的冷空调、电扇等）吗？,false,all
yin_deficiency,阴虚质,1,q09,您感觉身体、脸上发热吗？,false,all
yin_deficiency,阴虚质,2,q10,您皮肤或口唇干吗？,false,all
yin_deficiency,阴虚质,3,q11,您面部两颧潮红或偏红吗？,false,all
phlegm_dampness,痰湿质,1,q12,您感到身体沉重不轻松或不爽快吗？,false,all
phlegm_dampness,痰湿质,2,q13,您腹部肥满松软吗？,false,all
phlegm_dampness,痰湿质,3,q14,您嘴里有黏黏的感觉吗？,false,all
damp_heat,湿热质,1,q15,您面部或鼻部有油腻感或者油亮发光吗？,false,all
damp_heat,湿热质,2,q16,您小便时尿道有发热感、尿色浓（深）吗？,false,all
damp_heat,湿热质,3,q17_female,您带下色黄（白带颜色发黄）吗？,false,female
damp_heat,湿热质,4,q17_male,您的阴囊部位潮湿吗？,false,male
blood_stasis,血瘀质,1,q18,您身体上有哪里疼痛吗？,false,all
blood_stasis,血瘀质,2,q19,您面色晦黯或容易出现褐斑吗？,false,all
blood_stasis,血瘀质,3,q20,您口唇颜色偏暗吗？,false,all
qi_stagnation,气郁质,1,q03,您感到闷闷不乐、情绪低沉吗？,false,all
qi_stagnation,气郁质,2,q21,您容易精神紧张、焦虑不安吗？,false,all
qi_stagnation,气郁质,3,q22,您多愁善感、感情脆弱吗？,false,all
special_diathesis,特禀质,1,q23,您没有感冒时也会打喷嚏吗？,false,all
special_diathesis,特禀质,2,q24,您容易过敏（对药物、食物、气味、花粉或在季节交替、气候变化时）吗？,false,all
special_diathesis,特禀质,3,q25,您的皮肤容易起荨麻疹（风团、风疹块、风疙瘩）吗？,false,all
special_diathesis,特禀质,4,q26,您的皮肤一抓就红，并出现抓痕吗？,false,all
